seed,policy,control_window_after_shift,mlu
4,HW-only,23,0.7677
4,HW-only,24,0.7669
4,HW-only,25,0.7655
5,HW-only,0,0.7082
5,HW-only,1,0.9069
5,HW-only,2,0.8783
5,HW-only,3,0.8658
5,HW-only,4,0.8579
5,HW-only,5,0.8467
5,HW-only,6,0.8271
5,HW-only,7,0.8262
5,HW-only,8,0.8115
5,HW-only,9,0.8005
5,HW-only,10,0.7962
5,HW-only,11,0.7881
5,HW-only,12,0.7866
5,HW-only,13,0.7851
5,HW-only,14,0.7858
5,HW-only,15,0.7856
5,HW-only,16,0.7748
5,HW-only,17,0.7775
5,HW-only,18,0.7726
5,HW-only,19,0.7744
5,HW-only,20,0.772
5,HW-only,21,0.768
5,HW-only,22,0.7718
5,HW-only,23,0.7687
5,HW-only,24,0.7682
5,HW-only,25,0.767
1,Hybrid,0,0.7135
1,Hybrid,1,0.8739
1,Hybrid,2,0.8484
1,Hybrid,3,0.836
1,Hybrid,4,0.8221
1,Hybrid,5,0.8167
1,Hybrid,6,0.7963
1,Hybrid,7,0.7821
1,Hybrid,8,0.7891
1,Hybrid,9,0.7765
1,Hybrid,10,0.7782
1,Hybrid,11,0.771
1,Hybrid,12,0.7658
1,Hybrid,13,0.7647
1,Hybrid,14,0.7674
1,Hybrid,15,0.7654
1,Hybrid,16,0.758
1,Hybrid,17,0.7569
1,Hybrid,18,0.7579
1,Hybrid,19,0.7528
1,Hybrid,20,0.7544
1,Hybrid,21,0.7531
1,Hybrid,22,0.7531
1,Hybrid,23,0.751
1,Hybrid,24,0.7497
1,Hybrid,25,0.7489
2,Hybrid,0,0.7088
2,Hybrid,1,0.8658
2,Hybrid,2,0.8476
2,Hybrid,3,0.8485
2,Hybrid,4,0.8275
2,Hybrid,5,0.8016
2,Hybrid,6,0.8005
2,Hybrid,7,0.788
2,Hybrid,8,0.7821
2,Hybrid,9,0.7789
2,Hybrid,10,0.7761
2,Hybrid,11,0.7681
2,Hybrid,12,0.7702
2,Hybrid,13,0.7597
2,Hybrid,14,0.7613
2,Hybrid,15,0.7669
2,Hybrid,16,0.7584
2,Hybrid,17,0.76
2,Hybrid,18,0.7557
2,Hybrid,19,0.7557
2,Hybrid,20,0.7537
2,Hybrid,21,0.7529
2,Hybrid,22,0.7514
2,Hybrid,23,0.7528
2,Hybrid,24,0.7507
2,Hybrid,25,0.7524
3,Hybrid,0,0.7309
3,Hybrid,1,0.8734
3,Hybrid,2,0.8476
3,Hybrid,3,0.837
3,Hybrid,4,0.8173
3,Hybrid,5,0.8142
3,Hybrid,6,0.7872
3,Hybrid,7,0.7884
3,Hybrid,8,0.7734
3,Hybrid,9,0.771
3,Hybrid,10,0.7793
3,Hybrid,11,0.7731
3,Hybrid,12,0.7636
3,Hybrid,13,0.7585
3,Hybrid,14,0.7521
3,Hybrid,15,0.7579
3,Hybrid,16,0.7642
3,Hybrid,17,0.7576
3,Hybrid,18,0.7542
3,Hybrid,19,0.7555
3,Hybrid,20,0.7508
3,Hybrid,21,0.7526
3,Hybrid,22,0.7528
3,Hybrid,23,0.7521
3,Hybrid,24,0.7529
3,Hybrid,25,0.752
4,Hybrid,0,0.7267
4,Hybrid,1,0.8637
4,Hybrid,2,0.8577
4,Hybrid,3,0.8461
4,Hybrid,4,0.8126
4,Hybrid,5,0.8021
4,Hybrid,6,0.8064
4,Hybrid,7,0.7892
4,Hybrid,8,0.7908
4,Hybrid,9,0.7759
4,Hybrid,10,0.7797
4,Hybrid,11,0.77
4,Hybrid,12,0.7672
4,Hybrid,13,0.7688
4,Hybrid,14,0.7602
4,Hybrid,15,0.7567
4,Hybrid,16,0.7567
4,Hybrid,17,0.7576
4,Hybrid,18,0.752
4,Hybrid,19,0.7559
4,Hybrid,20,0.7528
4,Hybrid,21,0.7552
4,Hybrid,22,0.7488
4,Hybrid,23,0.751
4,Hybrid,24,0.7496
4,Hybrid,25,0.7505
5,Hybrid,0,0.7225
5,Hybrid,1,0.8684
5,Hybrid,2,0.8479
5,Hybrid,3,0.8322
5,Hybrid,4,0.821
5,Hybrid,5,0.8013
5,Hybrid,6,0.8026
5,Hybrid,7,0.794
5,Hybrid,8,0.7856
5,Hybrid,9,0.7806
5,Hybrid,10,0.7747
5,Hybrid,11,0.7776
5,Hybrid,12,0.7659
5,Hybrid,13,0.7625
5,Hybrid,14,0.7589
5,Hybrid,15,0.7565
5,Hybrid,16,0.7546
5,Hybrid,17,0.7544
5,Hybrid,18,0.7553
5,Hybrid,19,0.7552
5,Hybrid,20,0.7539
5,Hybrid,21,0.7518
5,Hybrid,22,0.7541
5,Hybrid,23,0.7533
5,Hybrid,24,0.7516
5,Hybrid,25,0.7507
1,RankGuard,0,0.7255
1,RankGuard,1,0.8417
1,RankGuard,2,0.8012
1,RankGuard,3,0.7923
1,RankGuard,4,0.7786
1,RankGuard,5,0.7582
1,RankGuard,6,0.7555
1,RankGuard,7,0.7387
1,RankGuard,8,0.7477
1,RankGuard,9,0.7421
1,RankGuard,10,0.7316
1,RankGuard,11,0.7313
1,RankGuard,12,0.7188
1,RankGuard,13,0.7221
1,RankGuard,14,0.7237
1,RankGuard,15,0.7206
1,RankGuard,16,0.7247
1,RankGuard,17,0.727
1,RankGuard,18,0.7191
1,RankGuard,19,0.7196
1,RankGuard,20,0.7215
1,RankGuard,21,0.7236
1,RankGuard,22,0.7187
1,RankGuard,23,0.7209
1,RankGuard,24,0.7228
1,RankGuard,25,0.7182
2,RankGuard,0,0.7072
2,RankGuard,1,0.8361
2,RankGuard,2,0.809
2,RankGuard,3,0.7991
2,RankGuard,4,0.7784
2,RankGuard,5,0.7524
2,RankGuard,6,0.7575
2,RankGuard,7,0.7436
2,RankGuard,8,0.7474
2,RankGuard,9,0.7333
2,RankGuard,10,0.7299
2,RankGuard,11,0.732
2,RankGuard,12,0.7305
2,RankGuard,13,0.7275
2,RankGuard,14,0.7194
2,RankGuard,15,0.7252
2,RankGuard,16,0.7201
2,RankGuard,17,0.7228
2,RankGuard,18,0.7185
2,RankGuard,19,0.7222
2,RankGuard,20,0.7195
2,RankGuard,21,0.7186
2,RankGuard,22,0.7218
2,RankGuard,23,0.7208
2,RankGuard,24,0.7196
2,RankGuard,25,0.7221
3,RankGuard,0,0.7156
3,RankGuard,1,0.8403
3,RankGuard,2,0.8157
3,RankGuard,3,0.788
3,RankGuard,4,0.7801
3,RankGuard,5,0.7606
3,RankGuard,6,0.7519
3,RankGuard,7,0.7544
3,RankGuard,8,0.7355
3,RankGuard,9,0.7248
3,RankGuard,10,0.7396
3,RankGuard,11,0.74
3,RankGuard,12,0.7262
3,RankGuard,13,0.7194
3,RankGuard,14,0.7237
3,RankGuard,15,0.7228
3,RankGuard,16,0.7223
3,RankGuard,17,0.7195
3,RankGuard,18,0.723
3,RankGuard,19,0.7224
3,RankGuard,20,0.7182
3,RankGuard,21,0.722
3,RankGuard,22,0.7239
3,RankGuard,23,0.7207
3,RankGuard,24,0.7199
3,RankGuard,25,0.7201
4,RankGuard,0,0.7262
4,RankGuard,1,0.8241
4,RankGuard,2,0.8148
4,RankGuard,3,0.7897
4,RankGuard,4,0.7899
4,RankGuard,5,0.763
4,RankGuard,6,0.7645
4,RankGuard,7,0.7406
4,RankGuard,8,0.7439
4,RankGuard,9,0.7377
4,RankGuard,10,0.7289
4,RankGuard,11,0.7306
4,RankGuard,12,0.7321
4,RankGuard,13,0.7249
4,RankGuard,14,0.7194
4,RankGuard,15,0.7236
4,RankGuard,16,0.7204
4,RankGuard,17,0.7214
4,RankGuard,18,0.7215
4,RankGuard,19,0.7178
4,RankGuard,20,0.718
4,RankGuard,21,0.7216
4,RankGuard,22,0.7198
4,RankGuard,23,0.7167
4,RankGuard,24,0.7214
4,RankGuard,25,0.7206
5,RankGuard,0,0.7129
5,RankGuard,1,0.8279
5,RankGuard,2,0.8205
5,RankGuard,3,0.7955
5,RankGuard,4,0.7938
5,RankGuard,5,0.7669
5,RankGuard,6,0.7567
5,RankGuard,7,0.7458
5,RankGuard,8,0.745
5,RankGuard,9,0.7392
5,RankGuard,10,0.7381
5,RankGuard,11,0.7278
5,RankGuard,12,0.7261
5,RankGuard,13,0.7244
5,RankGuard,14,0.7271
5,RankGuard,15,0.7279
5,RankGuard,16,0.7216
5,RankGuard,17,0.7212
5,RankGuard,18,0.7224
5,RankGuard,19,0.7208
5,RankGuard,20,0.7228
5,RankGuard,21,0.7169
5,RankGuard,22,0.7193
5,RankGuard,23,0.7193
5,RankGuard,24,0.7172
5,RankGuard,25,0.7191
